date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:20	23/23	---M--	200	added ('OK')	text/plain	etag:%2260cb2155-17%22	https://lindell.me/robots.txt		(from )
17:33:21	10054/10054	---M-Z	200	added ('OK')	text/html	etag:W/%225eccacfc-2746%22	https://lindell.me/JsBarcode/generator/	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/index.html	(from )
17:33:22	21984/21984	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Bar_code/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from https://lindell.me/JsBarcode/generator/)
17:33:23	113498/113498	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:58%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Bar_code/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from https://lindell.me/JsBarcode/generator/)
17:33:23	19835/19835	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:58%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/Bar_code/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap-theme.min.css	(from https://lindell.me/JsBarcode/generator/)
17:33:24	3104/3104	---M-Z	200	added ('OK')	text/css	etag:W/%225eccacfc-c20%22	https://lindell.me/JsBarcode/generator/rangeslider.css	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/rangeslider.css	(from https://lindell.me/JsBarcode/generator/)
17:33:24	2370/2370	---M-Z	200	added ('OK')	text/css	etag:W/%225eccacfc-942%22	https://lindell.me/JsBarcode/generator/style.css	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/style.css	(from https://lindell.me/JsBarcode/generator/)
17:33:26	84320/84320	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-14960%22	https://code.jquery.com/jquery-2.1.3.min.js	C:/My%20Web%20Sites/Bar_code/code.jquery.com/jquery-2.1.3.min.js	(from https://lindell.me/JsBarcode/generator/)
17:33:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Oct%202021%2016:33:26%20GMT	http://cdn.jsdelivr.net/jsbarcode/3.3.20/JsBarcode.all.min.js	C:/My%20Web%20Sites/Bar_code/cdn.jsdelivr.net/jsbarcode/3.3.20/JsBarcode.all.min.6.delayed	(from https://lindell.me/JsBarcode/generator/)
17:33:28	38733/38733	---M-Z	200	added ('OK')	application/javascript	etag:W/%22974d-tgl5TtRnhNzwiLt5DNUEiOv46AI%22	https://cdn.jsdelivr.net/jsbarcode/3.3.20/JsBarcode.all.min.js	C:/My%20Web%20Sites/Bar_code/cdn.jsdelivr.net/jsbarcode/3.3.20/JsBarcode.all.min.js	(from https://lindell.me/JsBarcode/generator/)
17:33:29	6614/6614	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eccacfc-19d6%22	https://lindell.me/JsBarcode/generator/javascripts/rangeslider.min.js	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/javascripts/rangeslider.min.js	(from https://lindell.me/JsBarcode/generator/)
17:33:30	11294/11294	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eccacfc-2c1e%22	https://lindell.me/JsBarcode/generator/javascripts/jqColorPicker.min.js	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/javascripts/jqColorPicker.min.js	(from https://lindell.me/JsBarcode/generator/)
17:33:30	3343/3343	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eccacfc-d0f%22	https://lindell.me/JsBarcode/generator/javascripts/script.js	C:/My%20Web%20Sites/Bar_code/lindell.me/JsBarcode/generator/javascripts/script.js	(from https://lindell.me/JsBarcode/generator/)
17:33:31	35601/35601	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:03:58%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/Bar_code/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	(from https://lindell.me/JsBarcode/generator/)
17:33:31	7327/7327	---M--	200	added ('OK')	image/png	etag:%22671a4177f2a37e0e1e4fffffbff8a0b3%22	https://s3.amazonaws.com/github/ribbons/forkme_left_darkblue_121621.png	C:/My%20Web%20Sites/Bar_code/s3.amazonaws.com/github/ribbons/forkme_left_darkblue_121621.png	(from https://lindell.me/JsBarcode/generator/)
17:33:32	49932/49932	---MC-	200	added ('OK')	text/javascript	date:Tue,%2028%20Sep%202021%2021:34:48%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Bar_code/www.google-analytics.com/analytics.js	(from https://lindell.me/JsBarcode/generator/)
